distance,correspondanceId,arretId
29,coeurca1,coeurca2
29,coeurca2,coeurca1
44,clomarg1,clomarg2
199,censtg1,clomarg2
44,clomarg2,clomarg1
99,cxfleu1,cxfleu2
99,cxfleu2,cxfleu1
33,muguet2,muguet1
33,muguet1,muguet2
47,callpot2,callorn1
29,plbreta2,plbreta1
192,ptbreta1,plbreta1
108,ptbrets2,plbreta1
89,ptbrets1,plbreta1
90,marsal1,marsal2
29,plbreta1,plbreta2
133,ptbrets2,plbreta2
116,ptbrets1,plbreta2
90,marsal2,marsal1
97,chmarti2,chmarti1
20,musset2,musset1
167,sand1,musset1
55,pteroch1,pteroch2
20,musset1,musset2
150,sand1,musset2
55,pteroch2,pteroch1
48,ptnante1,ptnante2
97,chmarti1,chmarti2
48,ptnante2,ptnante1
190,mareuch1,ledant2
29,ledante1,ledant2
186,raison2,ledant2
39,cornou1,cornou2
57,galgaul2,galgaul1
39,cornou2,cornou1
57,galgaul1,galgaul2
41,ecoagro1,ecoagro2
41,ecoagro2,ecoagro1
196,langued1,ecoagro1
81,sevivin1,sevigne2
132,sevivin2,sevigne2
14,bourgue1,bourgue2
26,troncha2,troncha1
14,bourgue2,bourgue1
26,troncha1,troncha2
146,censtg1,censtgi2
123,ptstra1,ptstras2
94,ptstra2,ptstras2
64,ptstras1,ptstras2
194,robidou2,ptstras2
63,ptstra1,ptstras1
107,ptstra2,ptstras1
64,ptstras2,ptstras1
54,condate2,condate1
152,plbaud2,piletie2
197,plbaud1,piletie2
114,piletie1,piletie2
54,condate1,condate2
38,fouilla2,fouilla1
178,plbaud1,piletie1
114,piletie2,piletie1
38,fouilla1,fouilla2
28,7fours1,7fours
185,mareuch1,ledante1
29,ledant2,ledante1
24,boislab2,boislab1
24,boislab1,boislab2
96,berthau2,monier1
96,pisbreq1,pigblan1
109,pisbreq2,pigblan1
85,pigblan2,pigblan1
75,pigeonb1,pigblan1
80,pigeonb2,pigblan1
63,lilamor1,lilamor2
178,pisbreq1,pigblan2
192,pisbreq2,pigblan2
85,pigblan1,pigblan2
81,pigeonb1,pigblan2
67,pigeonb2,pigblan2
63,lilamor2,lilamor1
44,gare2,gare1
182,magenta1,gare1
45,gares1,gare1
17,pinault1,pinault2
44,gare1,gare2
12,gares1,gare2
17,pinault2,pinault1
11,guerina1,guerina2
11,guerina2,guerina1
93,doublee3,doublee1
158,doublee4,doublee1
21,colombi1,cdg
49,colombi2,cdg
93,doublee1,doublee3
148,doublee4,doublee3
198,gide1,langevi1
191,langevi3,langevi1
54,langevi2,langevi1
13,vallee2,vallee1
13,vallee1,vallee2
17,ikea1,ikea2
48,eccxve1,eccxve2
17,ikea2,ikea1
39,lionor2,lionor1
39,lionor1,lionor2
39,huberd2,huberd1
90,martin1,martin2
178,cxhecha1,martin2
168,lemaist2,lehosu1
158,lehosu2,lehosu1
134,leho2,lehosu1
148,leho1,lehosu1
90,martin2,martin1
191,langevi1,langevi3
149,langevi2,langevi3
41,feval1,feval2
54,langevi1,langevi2
149,langevi3,langevi2
41,feval2,feval1
51,ptbran1,ptbran2
25,mezie2,mezie1
51,ptbran2,ptbran1
136,solidor2,solidor1
39,huberd1,huberd2
25,mezie1,mezie2
136,solidor1,solidor2
158,lehosu1,lehosu2
113,berthau1,lehosu2
48,eccxve2,eccxve1
35,frevi01,frevi04
49,frevi03,frevi04
86,frevi02,frevi04
89,frevill1,frevi04
167,argaun1,frevi04
51,frevi3,frevi04
27,cencha1,cencha2
38,patismo1,patismo2
38,patismo2,patismo1
27,cencha2,cencha1
19,garecn,cngare1
