id,direction_id,ligne_id,calendrier_id,macro_direction
16002,94,42,69,0
18406,52,42,30,0
4620,94,42,69,0
16054,94,42,97,0
32840,94,42,69,0
6718,52,42,97,0
18271,94,42,97,0
221,52,42,69,0
228,52,42,69,0
233,94,42,30,0
236,52,42,97,0
4296,52,42,69,0
18022,52,42,69,0
20189,52,42,30,0
8613,94,42,30,0
16338,94,42,97,0
2364,94,42,69,0
2388,94,42,69,0
604,94,42,30,0
20396,94,42,30,0
28969,52,42,69,0
12323,52,42,69,0
12278,94,42,69,0
16837,52,42,97,0
14575,94,42,97,0
14567,52,42,69,0
16700,94,42,69,0
4004,52,42,69,0
6259,52,42,97,0
