arretId,correspondanceId,distance
restuni1,bearubc1,166
restuni2,restuni1,50
restuni2,bearubc2,95
restuni2,bearubc1,144
ginguen1,cartier1,166
ginguen1,ginguen2,7
ginguen2,cartier1,162
ginguen2,ginguen1,7
flume2,flume1,65
flume1,flume2,65
eboue2,eboue1,15
eboue2,cormr1,156
eboue2,cormr2,181
cxrouve1,cxrouve2,49
maacig2,maacig1,15
maacig1,maacig2,15
ptnemous,repjof2,158
ptnemous,repjof3,152
ptnemous,repjof4,184
ptnemous,repx2,55
ptnemous,repwe,42
ptnemous,repwb,100
ptnemous,nemours2,181
ptnemous,ptnemoun,9
ptnemous,repjaurs,175
ptnemous,repjaurn,179
ptnemous,repea,105
ptnemous,repbottb,136
ptnemous,mairieb,123
ptnemous,repbottc,90
ptnemous,repjoffa,170
troicro2,donelie1,143
troicro2,troicro1,178
troicro2,troicx30,131
troicro1,troicro2,178
troicro1,troicx30,94
insa2,insa1,54
insa1,insa2,54
cenbett2,maronn1,165
cenbett2,cenbett1,12
cenbett1,maronn1,169
cenbett1,cenbett2,12
hopices1,hopices2,40
hopices2,hopices1,40
kervill1,kervill2,68
kervill1,courbet2,152
kervill2,kervill1,68
cxpotie1,cxpotrn2,120
cxpotie1,cxpotrn1,101
trembla2,trembla1,45
trembla1,trembla2,45
mansevi1,mansevi2,8
mansevi2,mansevi1,8
musscha2,musscha1,42
musscha1,musscha2,42
plelo2,arsenal1,180
plelo2,plelo1,54
plelo1,plelo2,54
troicx30,troicro2,131
troicx30,troicro1,94
belvusj2,belvusj1,12
belvusj1,belvusj2,12
landrel2,landrel1,79
cxrouve2,cxrouve1,49
landrel1,landrel2,79
pisbreq1,pisbreq2,40
pisbreq1,pigblan1,99
pisbreq1,pigblan2,176
pisbreq1,pigeonb1,136
pisbreq1,pigeonb2,149
cxrobr1,cxrobr2,8
pisbreq2,pisbreq1,40
pisbreq2,pigblan1,89
pisbreq2,pigblan2,167
pisbreq2,pigeonb1,143
pisbreq2,pigeonb2,155
bourgog1,bourgog2,97
bourgog2,bourgog1,97
juteaud1,juteaud2,139
juteaud2,juteaud1,139
cxrobr2,cxrobr1,8
valleeb1,valleeb2,43
colin1,colin2,11
valleeb2,valleeb1,43
colin2,colin1,11
landry2,landry1,64
parloch2,parloch1,16
dargent2,dargent1,14
parloch1,parloch2,16
dargent1,voltair1,195
dargent1,dargent2,14
metairi2,metairi1,6
metairi2,metairi4,86
metairi2,metairi3,96
metairi1,metairi2,6
metairi1,metairi4,92
metairi1,metairi3,101
anbretf2,anbretf1,35
anbretf1,anbretf2,35
metairi4,metairi2,86
metairi4,metairi1,92
metairi4,metairi3,12
metairi4,bellece2,176
metairi4,bellece1,198
metairi3,metairi2,96
metairi3,metairi1,101
metairi3,metairi4,12
metairi3,bellece2,169
metairi3,bellece1,191
pologne2,pologne1,21
pologne1,pologne2,21
cxmalin2,cxmalin1,11
cxmalin2,cxmalter,22
cxmalin1,cxmalin2,11
cxmalin1,cxmalter,22
verdaud1,verdaud2,32
tchemil2,tchemil1,11
hallouv1,hallouv2,50
hallouv1,hallouv3,95
maparth1,maparth2,15
verdaud2,verdaud1,32
hallouv2,hallouv1,50
hallouv2,hallouv3,67
maparth2,maparth1,15
normfou2,fouilla1,78
normfou2,fouilla2,121
donzelo1,donzelo2,41
tchemil1,tchemil2,11
donzelo2,donzelo1,41
serpett2,serpett1,15
serpett1,serpett2,15
cimnord2,stmarti2,192
cimnord2,cimnord1,59
patis1,patis2,18
hallouv3,hallouv1,95
hallouv3,hallouv2,67
patis2,patis1,18
sqrance1,sqrance2,46
sqrance1,dieuw2,177
cimnord1,stmarti2,164
cimnord1,cimnord2,59
fonderi1,fonderi2,24
grquart2,gdquart,30
grquart2,robique2,178
sqrance2,sqrance1,46
sqrance2,dieuw2,190
fonderi2,fonderi1,24
coeurca2,coeurca1,23
coeurca1,coeurca2,23
clomarg2,clomarg1,73
clomarg2,censtg1,160
clomarg1,clomarg2,73
cxfleu2,cxfleu1,82
cxfleu1,cxfleu2,82
muguet1,muguet2,13
muguet2,muguet1,13
callorn1,callpot2,80
plbreta1,plbreta2,33
plbreta1,ptbrets2,99
plbreta1,ptbrets1,112
plbreta2,plbreta1,33
plbreta2,ptbrets2,131
plbreta2,ptbrets1,143
chmarti1,chmarti2,90
ptnante2,ptnante1,18
ptnante1,ptnante2,18
chmarti2,chmarti1,90
chbleus1,chbleus2,19
chbleus2,chbleus1,19
cornou2,cornou1,39
cornou1,cornou2,39
galgaul1,galgaul2,55
galgaul2,galgaul1,55
ecoagro2,ecoagro1,108
ecoagro1,ecoagro2,108
ecoagro1,langued1,191
troncha1,troncha2,17
bourgue2,bourgue1,7
troncha2,troncha1,17
bourgue1,bourgue2,7
censtgi2,censtg1,134
ptstras2,ptstras1,74
ptstras2,robidou2,198
ptstras1,ptstras2,74
condate1,condate2,42
piletie2,plbaud2,192
piletie2,plbaud1,183
piletie2,piletie1,126
condate2,condate1,42
fouilla1,normfou2,78
fouilla1,fouilla2,48
piletie1,plbaud2,149
piletie1,piletie2,126
fouilla2,normfou2,121
fouilla2,fouilla1,48
boislab1,boislab2,29
boislab2,boislab1,29
monier1,berthau2,82
pigblan1,pisbreq1,99
pigblan1,pisbreq2,89
