ligne_id,arret_id,forward,backward
TBC05_05,TBC3352ORP20R,1,0
TBC05_05,TBC3354ORP20A,0,1
TBC05_05,TBC335TOU10A,1,0
TBC05_05,TBC341STA55R,0,1
TBC05_05,TBC342VER54A,1,0
TBC05_05,TBC348RJJ52R,0,1
TBC05_05,TBC3501VIC20R,1,0
TBC05_05,TBC3546VIC20A,0,1
TBC05_05,TBC3547REP16A,1,0
TBC05_05,TBC3548REP16R,0,1
TBC05_05,TBC3549VIC16A,1,0
TBC05_05,TBC355TRO55R,0,1
TBC05_05,TBC3572MEYSI,1,0
TBC05_05,TBC370MAY20A,0,1
TBC05_05,TBC3801VIC16R,0,1
TBC05_05,TBC382LEC54A,1,0
TBC05_05,TBC3858PJU16A,1,0
TBC05_05,TBC3869BME54A,1,0
TBC05_05,TBC4031PJUS16,0,1
TBC05_05,TBC412KER20R,1,0
TBC05_05,TBC416CAN55A,1,0
TBC05_05,TBC41CAR55A,1,0
TBC05_05,TBC421BRU22A,0,1
TBC05_05,TBC456NANSTY,1,0
TBC05_05,TBC471TAF20A,0,1
TBC05_05,TBC4790AUR21R,1,0
TBC05_05,TBC5599CCH21R,1,0
TBC05_05,TBC5600CCH21A,0,1
TBC05_05,TBC561RAC54R,0,1
TBC05_05,TBC5621GBA04A,0,1
TBC05_05,TBC5651CAR36A,1,0
TBC05_05,TBC5735MEL15A,1,0
TBC05_05,TBC5978ACU79R,0,1
TBC05_05,TBC5980CEY79R,0,1
TBC05_05,TBC598SOU54R,0,1
TBC05_05,TBC639BON21A,0,1
TBC05_05,TBC643AFR21A,0,1
TBC05_05,TBC658MOU55A,1,0
TBC05_05,TBC673PRE54R,0,1
TBC05_05,TBC686VEL54R,0,1
TBC05_05,TBC691LEC54R,0,1
TBC05_05,TBC692JOU20R,1,0
TBC05_05,TBC744CGR37R,0,1
TBC05_05,TBC771EPA20R,1,0
TBC05_05,TBC807AGR37A,1,0
TBC05_05,TBC823BOU16R,0,1
TBC05_05,TBC837LON10R,0,1
TBC05_05,TBC848PAR55A,1,0
TBC05_05,TBC862TAF20R,1,0
TBC05_05,TBC870SOU54A,1,0
TBC05_05,TBC875RAC54A,1,0
TBC05_05,TBC881JOU20A,0,1
TBC05_05,TBC887LEO21A,0,1
TBC05_05,TBC898PRE54A,1,0
TBC05_05,TBC912PFR54A,1,0
TBC05_05,TBC913CLE54A,1,0
TBC05_05,TBC921MAR10A,1,0
TBC05_05,TBC966CAM21A,0,1
TBC05_05,TBC974PLA20A,0,1
TBC05_05,TBC985TRO55A,1,0
TBC06_06,TBC1092MOU37A,0,1
TBC06_06,TBC1115CAL57A,1,0
TBC06_06,TBC1501MOU37R,1,0
TBC06_06,TBC1540POI56A,1,0
TBC06_06,TBC1553LAG58A,1,0
TBC06_06,TBC1564PO58R,0,1
TBC06_06,TBC1592TER58A,1,0
TBC06_06,TBC1649AVI57R,0,1
TBC06_06,TBC1650PAU57A,1,0
TBC06_06,TBC1653LAB54R,0,1
TBC06_06,TBC1657GRU57A,1,0
TBC06_06,TBC1692TOU51A,0,1
TBC06_06,TBC1694TER58R,0,1
TBC06_06,TBC1708CAY58R,0,1
TBC06_06,TBC1740ZIC58A,1,0
TBC06_06,TBC1763LAG58R,0,1
TBC06_06,TBC1788REP58A,1,0
TBC06_06,TBC1789MBO56A,1,0
TBC06_06,TBC1933LAT58A,1,0
TBC06_06,TBC198MQU56A,1,0
TBC06_06,TBC1998MBL58R,0,1
TBC06_06,TBC2010REP58R,0,1
TBC06_06,TBC2012COL58R,0,1
TBC06_06,TBC2053GGA37A,0,1
TBC06_06,TBC2220ZIC58R,0,1
TBC06_06,TBC2234CLE56A,1,0
TBC06_06,TBC230JJA56R,0,1
TBC06_06,TBC2443JPU15R,0,1
TBC06_06,TBC2444GAM04A,0,1
TBC06_06,TBC25574PO58A,1,0
TBC06_06,TBC2586RME36R,0,1
TBC06_06,TBC2601UMK36A,1,0
TBC06_06,TBC2629UMK36R,0,1
TBC06_06,TBC2642BME54R,0,1
TBC06_06,TBC2643TPA57R,0,1
TBC06_06,TBC2649CAY77A,1,0
TBC06_06,TBC2651LJM06R,0,1
TBC06_06,TBC2657COL58A,1,0
TBC06_06,TBC2898BME56A,1,0
TBC06_06,TBC2915BRO56A,1,0
TBC06_06,TBC2916BRO56R,0,1
TBC06_06,TBC2917POI56R,0,1
TBC06_06,TBC2918LAV56R,0,1
TBC06_06,TBC2919LAV56A,1,0
TBC06_06,TBC2920DES56A,1,0
TBC06_06,TBC2921DES56R,0,1
TBC06_06,TBC2922JJA56A,1,0
TBC06_06,TBC2923MBO56R,0,1
TBC06_06,TBC2924ANF56A,1,0
TBC06_06,TBC2925ANF56R,0,1
TBC06_06,TBC2928SGE56R,0,1
TBC06_06,TBC2967GAM37R,1,0
TBC06_06,TBC3116AVE36R,0,1
TBC06_06,TBC3117AVE36A,1,0
TBC06_06,TBC3216GBA04R,1,0
TBC06_06,TBC3256SLE58R,0,1
TBC06_06,TBC3266SLE58A,1,0
TBC06_06,TBC3278GAM51R,1,0
TBC06_06,TBC3358LAT58R,0,1
TBC06_06,TBC335TOU10A,1,0
TBC06_06,TBC350COU56A,1,0
TBC06_06,TBC3823PJUST,1,1
TBC06_06,TBC3959MAL77R,0,1
TBC06_06,TBC3960MAL77A,1,0
TBC06_06,TBC3968MQU65R,0,1
TBC06_06,TBC4029CAN77R,0,1
TBC06_06,TBC4030CAN77A,1,0
TBC06_06,TBC4050CLG58R,0,1
TBC06_06,TBC4051CLG58A,1,0
TBC06_06,TBC500COU56R,0,1
TBC06_06,TBC5469GAM77R,0,1
TBC06_06,TBC5621GBA04A,0,1
TBC06_06,TBC5628TCAY06,1,1
TBC06_06,TBC5636LEB33A,1,0
TBC06_06,TBC5638LEB33R,0,1
TBC06_06,TBC723LJM06A,1,0
TBC06_06,TBC827RME36A,1,0
TBC06_06,TBC837LON10R,0,1
TBC06_06,TBC921MAR10A,1,0
TBC06_06,TBC927SGE56A,1,0
TBC07_07,TBC1247DAS31R,0,1
TBC07_07,TBC130MCO07A,1,0
